iter	Passed	Remaining
0	3	3297
1	5	2766
2	7	2655
3	11	2823
4	15	3022
5	17	2949
6	20	2897
7	22	2807
8	25	2828
9	34	3403
10	38	3439
11	41	3382
12	46	3521
13	50	3523
14	55	3643
15	58	3615
16	61	3584
17	64	3519
18	66	3443
19	69	3390
20	74	3453
21	75	3364
22	79	3360
23	81	3323
24	84	3281
25	89	3367
26	93	3361
27	95	3316
28	97	3269
29	101	3271
30	103	3248
31	106	3228
32	108	3177
33	110	3129
34	112	3092
35	115	3086
36	117	3047
37	118	3007
38	121	2998
39	123	2962
40	125	2926
41	126	2891
42	130	2912
43	134	2914
44	136	2888
45	138	2863
46	139	2832
47	142	2824
48	145	2818
49	146	2792
50	148	2765
51	151	2753
52	152	2732
53	154	2712
54	157	2710
55	159	2688
56	161	2670
57	164	2668
58	166	2650
59	167	2630
60	172	2650
61	173	2629
62	175	2609
63	177	2592
64	179	2577
65	180	2557
66	182	2539
67	186	2555
68	188	2541
69	190	2524
70	191	2511
71	193	2497
72	195	2485
73	198	2487
74	200	2474
75	202	2461
76	204	2450
77	206	2436
78	207	2422
79	209	2409
80	212	2411
81	214	2404
82	215	2384
83	217	2371
84	219	2363
85	221	2352
86	223	2340
87	225	2334
88	227	2332
89	229	2322
90	231	2310
91	232	2298
92	234	2288
93	236	2279
94	238	2268
95	240	2266
96	242	2259
97	244	2250
98	246	2239
99	247	2229
100	249	2219
101	251	2212
102	253	2211
103	255	2202
104	257	2193
105	259	2192
106	261	2185
107	263	2177
108	265	2167
109	269	2179
110	271	2172
111	273	2166
112	274	2157
113	276	2151
114	278	2144
115	280	2136
116	282	2131
117	284	2130
118	286	2123
119	288	2115
120	290	2107
121	291	2097
122	293	2090
123	295	2087
124	297	2081
125	299	2077
126	301	2071
127	303	2064
128	304	2057
129	306	2049
130	307	2042
131	310	2042
132	312	2035
133	314	2029
134	315	2022
135	317	2016
136	318	2009
137	320	2003
138	323	2003
139	325	1998
140	326	1991
141	328	1982
142	330	1977
143	331	1971
144	333	1965
145	334	1959
146	337	1956
147	339	1952
148	341	1948
149	342	1942
150	344	1936
151	346	1930
152	347	1924
153	349	1919
154	351	1914
155	352	1908
156	354	1903
157	356	1898
158	358	1893
159	359	1888
160	360	1880
161	362	1876
162	364	1872
163	366	1867
164	367	1862
165	369	1856
166	371	1851
167	372	1846
168	374	1841
169	376	1836
170	377	1831
171	379	1826
172	381	1821
173	382	1817
174	384	1812
175	386	1809
176	388	1806
177	390	1801
178	391	1796
179	393	1793
180	395	1789
181	397	1784
182	398	1779
183	400	1776
184	402	1771
185	403	1766
186	405	1761
187	407	1758
188	408	1753
189	410	1749
190	413	1749
191	414	1745
192	416	1742
193	418	1738
194	420	1733
195	422	1733
196	424	1729
197	425	1725
198	427	1721
199	429	1716
200	430	1712
201	432	1708
202	434	1704
203	435	1701
204	437	1697
205	439	1693
206	441	1690
207	443	1688
208	445	1685
209	447	1682
210	450	1683
211	452	1682
212	454	1680
213	456	1677
214	458	1674
215	460	1671
216	462	1667
217	463	1663
218	465	1660
219	467	1656
220	468	1652
221	470	1648
222	472	1645
223	473	1641
224	475	1637
225	476	1633
226	478	1630
227	480	1626
228	482	1623
229	483	1619
230	485	1615
231	486	1611
232	488	1608
233	490	1605
234	491	1601
235	493	1597
236	495	1593
237	496	1590
238	498	1586
239	500	1583
240	501	1580
241	503	1576
242	505	1574
243	507	1571
244	508	1567
245	510	1563
246	511	1560
247	513	1557
248	515	1555
249	517	1552
250	519	1549
251	521	1546
252	522	1543
253	524	1539
254	525	1536
255	527	1532
256	529	1530
257	531	1527
258	532	1524
259	534	1521
260	536	1518
261	537	1515
262	539	1511
263	541	1508
264	543	1508
265	548	1513
266	551	1512
267	553	1512
268	555	1510
269	557	1508
270	559	1505
271	561	1502
272	562	1498
273	564	1496
274	566	1493
275	568	1490
276	569	1487
